order_id,order_date,customer_id,customer_segment,customer_type,region,city,product_category,product_subcategory,payment_method,campaign_source,quantity,unit_price,discount_pct,discount_tier,order_value,order_value_tier,shipping_days,delivery_group,returned
O2025025,2025-04-08,C1214,Corporate,Returning,South,Lund,Sports,Fitness,Swish,Organic,1,343.08,0.036,Low (1-10%),330.72911999999997,High,4,Medium (3-5d),0
O2025026,2025-02-03,C1080,Consumer,New,North,Stockholm,Electronics,Laptop,Card,Organic,1,1272.53,0.081,Low (1-10%),1169.45507,Premium,5,Medium (3-5d),0
O2025027,2025-09-13,C1257,Consumer,Returning,North,Uppsala,Fashion,Shoes,Paypal,Direct,1,110.05,0,No discount,110.05,Medium,1,Fast (1-2d),0
O2025028,2025-06-13,C1246,Small Business,Returning,West,Borås,Fashion,Jackets,Card,Social,1,292.87,0.025,Low (1-10%),285.54825,High,2,Fast (1-2d),0
O2025029,2025-08-15,C1067,Small Business,Returning,West,Halmstad,Sports,Fitness,Invoice,Email,1,251.89,0.021,Low (1-10%),246.60030999999998,High,4,Medium (3-5d),0
O2025030,2025-10-29,C1219,Consumer,New,North,Stockholm,Beauty,Fragrance,Invoice,Paid Search,1,74.62,0.057,Low (1-10%),70.36666,Low,4,Medium (3-5d),0
O2025031,2025-08-24,C1123,Small Business,Returning,East,Örebro,Sports,Cycling,Card,Organic,1,468.34,0.057,Low (1-10%),441.64462,Premium,4,Medium (3-5d),0
O2025032,2025-03-07,C1083,Consumer,VIP,North,Västerås,Electronics,Headphones,Card,Organic,1,233.21,0.084,Low (1-10%),213.62036,High,1,Fast (1-2d),0
O2025033,2025-05-11,C1013,Consumer,Returning,West,Halmstad,Electronics,Mobile,Invoice,Affiliate,2,414.67,0.147,Medium (11-25%),707.42702,Premium,3,Medium (3-5d),0
O2025034,2025-01-23,C1084,Corporate,VIP,East,Linköping,Fashion,Sportswear,Invoice,Paid Search,1,58.56,0.006,Low (1-10%),58.20864,Low,4,Medium (3-5d),0
O2025035,2025-10-22,C1206,Consumer,New,East,Örebro,Home,Decor,Invoice,Direct,1,123.8,0.107,Medium (11-25%),110.5534,Medium,5,Medium (3-5d),0
O2025036,2025-10-20,C1164,Corporate,Returning,East,Linköping,Beauty,Haircare,Invoice,Paid Search,1,46.61,0.085,Low (1-10%),42.64815,Low,3,Medium (3-5d),0
O2025037,2025-05-23,C1252,Corporate,Returning,North,Uppsala,Electronics,Laptop,Card,Email,1,1349.83,0.073,Low (1-10%),1251.29241,Premium,3,Medium (3-5d),0
O2025038,2025-07-12,C1214,Corporate,Returning,South,Lund,Fashion,Shoes,Paypal,Email,1,160.73,0.063,Low (1-10%),150.60401,Medium,4,Medium (3-5d),1
O2025039,2025-09-02,C1243,Consumer,Returning,East,Linköping,Electronics,Headphones,Invoice,Paid Search,1,49.76,0.073,Low (1-10%),46.12752,Low,4,Medium (3-5d),0
O2025040,2025-11-18,C1228,Small Business,Returning,West,Halmstad,Fashion,Shoes,Invoice,Paid Search,1,96.19,0.112,Medium (11-25%),85.41672,Medium,1,Fast (1-2d),0
O2025041,2025-04-09,C1221,Consumer,Returning,West,Halmstad,Beauty,Skincare,Invoice,Affiliate,1,9.17,0.085,Low (1-10%),8.390550000000001,Low,1,Fast (1-2d),0
O2025042,2025-11-29,C1110,Corporate,Returning,East,Norrköping,Home,Furniture,Card,Email,2,601.47,0.21,Medium (11-25%),950.3226000000001,Premium,5,Medium (3-5d),0
O2025043,2025-02-13,C1131,Small Business,Returning,North,Västerås,Electronics,Laptop,Card,Social,1,1094.44,0.079,Low (1-10%),1007.9792400000001,Premium,4,Medium (3-5d),0
O2025044,2025-06-13,C1036,Consumer,New,North,Stockholm,Home,Furniture,Gift Card,Affiliate,2,809.42,0.128,Medium (11-25%),1411.6284799999999,Premium,5,Medium (3-5d),0
O2025045,2025-02-05,C1229,Corporate,Returning,North,Stockholm,Fashion,Accessories,Gift Card,Direct,1,37.1,0.053,Low (1-10%),35.1337,Low,2,Fast (1-2d),0
O2025046,2025-07-10,C1234,Consumer,New,East,Örebro,Electronics,Tablet,Invoice,Organic,1,817.81,0.02,Low (1-10%),801.4537999999999,Premium,4,Medium (3-5d),0
O2025047,2025-10-17,C1115,Consumer,VIP,East,Linköping,Electronics,Laptop,Paypal,Organic,1,818.25,0.168,Medium (11-25%),680.784,Premium,3,Medium (3-5d),0
O2025048,2025-08-14,C1218,Consumer,VIP,North,Västerås,Electronics,Tablet,Gift Card,Direct,1,574.82,0.181,Medium (11-25%),470.77758,Premium,1,Fast (1-2d),0
O2025049,2025-10-18,C1224,Corporate,Returning,East,Linköping,Home,Kitchen,Card,Social,1,76.54,0.013,Low (1-10%),75.54498000000001,Low,7,Slow(6-9d),1
O2025050,2025-04-26,C1040,Consumer,Returning,East,Linköping,Beauty,Fragrance,Card,Direct,1,91.81,0.027,Low (1-10%),89.33113,Medium,4,Medium (3-5d),1
O2025051,2025-03-21,C1038,Consumer,Returning,North,Stockholm,Beauty,Skincare,Swish,Organic,1,54.84,0.129,Medium (11-25%),47.765640000000005,Low,1,Fast (1-2d),0
O2025052,2025-02-16,C1090,Consumer,Returning,West,Göteborg,Home,Kitchen,Invoice,Social,2,121.12,0.056,Low (1-10%),228.67455999999999,High,6,Slow(6-9d),0
O2025053,2025-06-09,C1045,Small Business,Returning,North,Uppsala,Home,Decor,Card,Direct,2,103.64,0.005,Low (1-10%),206.2436,High,2,Fast (1-2d),0
O2025054,2025-01-12,C1132,Corporate,Returning,West,Borås,Beauty,Skincare,Invoice,Organic,1,43.04,0.098,Low (1-10%),38.82208,Low,3,Medium (3-5d),1
O2025055,2025-06-27,C1155,Corporate,New,South,Helsingborg,Beauty,Fragrance,Swish,Affiliate,1,70.19,0.076,Low (1-10%),64.85556,Low,6,Slow(6-9d),0
O2025056,2025-03-12,C1222,Consumer,Returning,East,Linköping,Home,Kitchen,Card,Email,1,91.02,0.159,Medium (11-25%),76.54781999999999,Low,5,Medium (3-5d),0
O2025057,2025-08-30,C1127,Small Business,VIP,West,Göteborg,Sports,Outdoor,Swish,Social,1,268.75,0.11,Medium (11-25%),239.1875,High,3,Medium (3-5d),0
O2025058,2025-02-06,C1248,Consumer,New,West,Borås,Electronics,Laptop,Swish,Social,1,1128.65,0.008,Low (1-10%),1119.6208000000001,Premium,5,Medium (3-5d),0
O2025059,2025-04-17,C1208,Consumer,Returning,North,Stockholm,Home,Furniture,Card,Social,1,613.04,0,No discount,613.04,Premium,4,Medium (3-5d),0
O2025060,2025-02-09,C1211,Consumer,New,North,Uppsala,Beauty,Makeup,Card,Paid Search,1,52.95,0.064,Low (1-10%),49.5612,Low,3,Medium (3-5d),0
O2025061,2025-03-29,C1047,Consumer,Returning,East,Norrköping,Fashion,Jackets,Swish,Organic,1,70.13,0.011,Low (1-10%),69.35857,Low,6,Slow(6-9d),0
O2025062,2025-01-09,C1225,Small Business,Returning,North,Stockholm,Fashion,Jackets,Card,Paid Search,3,148.78,0.061,Low (1-10%),419.1132600000001,Premium,1,Fast (1-2d),0
O2025063,2025-11-21,C1127,Small Business,VIP,West,Göteborg,Fashion,Jackets,Swish,Organic,2,270.44,0.036,Low (1-10%),521.40832,Premium,2,Fast (1-2d),0
O2025064,2025-02-13,C1231,Corporate,New,North,Uppsala,Home,Decor,Invoice,Email,1,79.08,0.133,Medium (11-25%),68.56236,Low,5,Medium (3-5d),1
O2025065,2025-04-08,C1194,Consumer,New,North,Uppsala,Home,Furniture,Card,Organic,2,611.76,0.072,Low (1-10%),1135.42656,Premium,4,Medium (3-5d),0
O2025066,2025-10-08,C1036,Consumer,New,North,Stockholm,Sports,Outdoor,Card,Email,1,108.56,0.005,Low (1-10%),108.0172,Medium,3,Medium (3-5d),0
O2025067,2025-03-27,C1158,Corporate,New,North,Stockholm,Beauty,Fragrance,Gift Card,Paid Search,1,78.71,0.087,Low (1-10%),71.86223,Low,4,Medium (3-5d),0
O2025068,2025-09-24,C1210,Small Business,New,North,Uppsala,Home,Kitchen,Card,Organic,1,157.71,0,No discount,157.71,High,2,Fast (1-2d),0
O2025069,2025-09-30,C1192,Corporate,Returning,West,Göteborg,Home,Decor,Swish,Organic,1,90.97,0.038,Low (1-10%),87.51313999999999,Medium,6,Slow(6-9d),0
O2025070,2025-02-17,C1052,Consumer,Returning,West,Borås,Fashion,Shoes,Card,Affiliate,2,102.38,0.085,Low (1-10%),187.3554,High,3,Medium (3-5d),1
O2025071,2025-04-16,C1006,Consumer,VIP,East,Örebro,Home,Lighting,Card,Organic,2,176.2,0.122,Medium (11-25%),309.4072,High,6,Slow(6-9d),0
O2025072,2025-05-24,C1238,Small Business,Returning,West,Göteborg,Beauty,Skincare,Invoice,Email,1,74.4,0.109,Medium (11-25%),66.2904,Low,3,Medium (3-5d),0
O2025073,2025-03-25,C1041,Consumer,Returning,South,Lund,Fashion,Sportswear,Swish,Social,2,84.29,0,No discount,168.58,High,4,Medium (3-5d),0
O2025074,2025-04-23,C1130,Consumer,VIP,South,Lund,Fashion,Sportswear,Swish,Organic,2,75.82,0.101,Medium (11-25%),136.32435999999998,Medium,3,Medium (3-5d),0
O2025075,2025-05-25,C1087,Consumer,Returning,West,Halmstad,Sports,Team Sports,Invoice,Email,2,166.61,0.208,Medium (11-25%),263.91024000000004,High,5,Medium (3-5d),1
O2025076,2025-08-07,C1107,Consumer,VIP,South,Malmö,Home,Decor,Card,Direct,1,45.05,0.109,Medium (11-25%),40.13955,Low,3,Medium (3-5d),0
O2025077,2025-10-15,C1076,Consumer,New,North,Uppsala,Electronics,Headphones,Invoice,Paid Search,1,118.48,0.038,Low (1-10%),113.97776,Medium,4,Medium (3-5d),0
O2025078,2025-10-01,C1008,Consumer,Returning,West,Borås,Beauty,Fragrance,Swish,Organic,2,74.27,0.047,Low (1-10%),141.55862,Medium,2,Fast (1-2d),0
O2025079,2025-01-19,C1106,Consumer,Returning,North,Stockholm,Home,Lighting,Invoice,Social,1,103.6,0,No discount,103.6,Medium,4,Medium (3-5d),0
O2025080,2025-02-14,C1116,Consumer,Returning,North,Uppsala,Electronics,Mobile,Card,Paid Search,2,146.91,0.019,Low (1-10%),288.23742,High,3,Medium (3-5d),0
O2025081,2025-11-21,C1214,Corporate,Returning,South,Lund,Electronics,Laptop,Gift Card,Organic,1,750.58,0.085,Low (1-10%),686.7807,Premium,4,Medium (3-5d),0
O2025082,2025-09-26,C1150,Consumer,VIP,East,Norrköping,Fashion,Jackets,Card,Social,1,159.28,0.166,Medium (11-25%),132.83952,Medium,2,Fast (1-2d),0
O2025083,2025-11-18,C1109,Small Business,Returning,South,Helsingborg,Electronics,Tablet,Swish,Email,1,620.92,0.054,Low (1-10%),587.39032,Premium,3,Medium (3-5d),0
O2025084,2025-03-17,C1079,Consumer,VIP,East,Linköping,Sports,Cycling,Invoice,Email,1,566.87,0.205,Medium (11-25%),450.66165,Premium,7,Slow(6-9d),0
O2025085,2025-11-29,C1240,Consumer,Returning,South,Lund,Sports,Fitness,Card,Paid Search,2,155.43,0.009,Low (1-10%),308.06226000000004,High,5,Medium (3-5d),0
O2025086,2025-10-31,C1193,Corporate,Returning,North,Uppsala,Beauty,Makeup,Card,Paid Search,2,28.57,0.085,Low (1-10%),52.283100000000005,Low,1,Fast (1-2d),0
O2025087,2025-07-19,C1166,Consumer,New,South,Helsingborg,Electronics,Headphones,Invoice,Direct,1,33.82,0.089,Low (1-10%),30.81002,Low,6,Slow(6-9d),0
O2025088,2025-08-03,C1047,Consumer,Returning,East,Norrköping,Electronics,Headphones,Card,Social,1,161.95,0.027,Low (1-10%),157.57735,High,4,Medium (3-5d),0
O2025089,2025-01-01,C1251,Small Business,Returning,West,Borås,Home,Furniture,Card,Social,1,659.88,0.059,Low (1-10%),620.94708,Premium,4,Medium (3-5d),0
O2025090,2025-06-29,C1220,Consumer,Returning,West,Halmstad,Home,Decor,Gift Card,Paid Search,1,89.25,0.117,Medium (11-25%),78.80775,Low,5,Medium (3-5d),0
O2025091,2025-04-15,C1187,Consumer,Returning,North,Västerås,Electronics,Tablet,Card,Email,1,426.85,0.194,Medium (11-25%),344.04110000000003,High,2,Fast (1-2d),0
O2025092,2025-08-01,C1207,Consumer,New,North,Stockholm,Home,Decor,Card,Social,1,87.2,0.099,Low (1-10%),78.5672,Low,3,Medium (3-5d),0
O2025093,2025-07-19,C1137,Consumer,New,West,Borås,Beauty,Skincare,Invoice,Social,1,18.32,0.025,Low (1-10%),17.862,Low,4,Medium (3-5d),1
O2025094,2025-04-04,C1170,Consumer,Returning,West,Halmstad,Electronics,Mobile,Card,Affiliate,1,399.76,0.016,Low (1-10%),393.36384,Premium,5,Medium (3-5d),0
O2025095,2025-01-21,C1099,Consumer,Returning,North,Västerås,Beauty,Skincare,Invoice,Direct,1,51.24,0.049,Low (1-10%),48.72924,Low,4,Medium (3-5d),0
O2025096,2025-02-21,C1188,Small Business,Returning,North,Uppsala,Beauty,Fragrance,Card,Email,1,121.41,0.143,Medium (11-25%),104.04836999999999,Medium,5,Medium (3-5d),0
O2025097,2025-06-30,C1093,Small Business,Returning,West,Borås,Fashion,Shoes,Swish,Affiliate,1,116.99,0.161,Medium (11-25%),98.15460999999999,Medium,2,Fast (1-2d),0
O2025098,2025-09-11,C1063,Consumer,Returning,North,Uppsala,Home,Kitchen,Card,Direct,1,76.97,0.064,Low (1-10%),72.04392,Low,4,Medium (3-5d),0
O2025099,2025-07-09,C1247,Corporate,Returning,West,Halmstad,Beauty,Fragrance,Paypal,Organic,4,90.24,0.064,Low (1-10%),337.85855999999995,High,1,Fast (1-2d),0
O2025100,2025-08-21,C1148,Consumer,Returning,East,Norrköping,Sports,Cycling,Invoice,Paid Search,2,295.7,0.01,Low (1-10%),585.486,Premium,3,Medium (3-5d),0
O2025101,2025-01-28,C1006,Consumer,VIP,East,Örebro,Electronics,Laptop,Card,Social,1,884.2,0.064,Low (1-10%),827.6111999999999,Premium,5,Medium (3-5d),0
O2025102,2025-10-14,C1062,Consumer,VIP,South,Helsingborg,Beauty,Skincare,Card,Organic,2,15.75,0.082,Low (1-10%),28.917,Low,2,Fast (1-2d),0
O2025103,2025-04-05,C1107,Consumer,VIP,South,Malmö,Home,Kitchen,Paypal,Paid Search,1,93.84,0.165,Medium (11-25%),78.3564,Low,3,Medium (3-5d),0
O2025104,2025-03-11,C1030,Small Business,Returning,North,Stockholm,Fashion,Jackets,Card,Organic,1,133.28,0.036,Low (1-10%),128.48192,Medium,2,Fast (1-2d),0
O2025105,2025-02-21,C1140,Small Business,Returning,West,Borås,Electronics,Headphones,Card,Social,1,99.58,0.049,Low (1-10%),94.70057999999999,Medium,4,Medium (3-5d),0
O2025106,2025-04-29,C1102,Small Business,Returning,West,Göteborg,Home,Lighting,Card,Paid Search,1,145.51,0.03,Low (1-10%),141.1447,Medium,3,Medium (3-5d),0
O2025107,2025-07-13,C1216,Consumer,VIP,West,Halmstad,Sports,Team Sports,Gift Card,Direct,2,92.25,0.097,Low (1-10%),166.6035,High,2,Fast (1-2d),0
O2025108,2025-04-14,C1139,Consumer,Returning,West,Borås,Beauty,Skincare,Card,Affiliate,1,35,0.024,Low (1-10%),34.16,Low,6,Slow(6-9d),0
O2025109,2025-01-07,C1034,Small Business,Returning,East,Örebro,Fashion,Jackets,Invoice,Direct,1,199.09,0.008,Low (1-10%),197.49728,High,4,Medium (3-5d),0
O2025110,2025-09-23,C1223,Corporate,Returning,West,Göteborg,Home,Kitchen,Card,Direct,1,100.88,0.066,Low (1-10%),94.22191999999998,Medium,4,Medium (3-5d),0
O2025111,2025-11-09,C1146,Corporate,New,North,Uppsala,Electronics,Mobile,Card,Email,1,455.35,0.215,Medium (11-25%),357.44975000000005,High,2,Fast (1-2d),0
O2025112,2025-02-06,C1221,Consumer,Returning,West,Halmstad,Electronics,Mobile,Card,Paid Search,1,512.02,0.213,Medium (11-25%),402.95974,Premium,4,Medium (3-5d),0
O2025113,2025-11-25,C1235,Small Business,Returning,North,Stockholm,Sports,Team Sports,Card,Email,2,51.59,0.123,Medium (11-25%),90.48886,Medium,2,Fast (1-2d),0
O2025114,2025-06-14,C1159,Consumer,Returning,East,Norrköping,Electronics,Laptop,Card,Email,1,605.56,0.066,Low (1-10%),565.5930399999999,Premium,3,Medium (3-5d),0
O2025115,2025-06-02,C1100,Small Business,New,West,Göteborg,Home,Kitchen,Gift Card,Social,1,73.85,0.071,Low (1-10%),68.60665,Low,4,Medium (3-5d),0
O2025116,2025-02-02,C1242,Small Business,New,East,Linköping,Sports,Outdoor,Swish,Paid Search,2,199.23,0.109,Medium (11-25%),355.02786,High,5,Medium (3-5d),0
O2025117,2025-06-29,C1024,Consumer,New,West,Halmstad,Sports,Fitness,Swish,Social Media,2,301.75,0.096,Low (1-10%),545.564,Premium,4,Medium (3-5d),1
O2025118,2025-02-04,C1195,Consumer,Returning,South,Malmö,Electronics,Laptop,Card,Organic,1,1149.64,0.104,Medium (11-25%),1030.07744,Premium,4,Medium (3-5d),0
O2025119,2025-12-01,C1110,Corporate,Returning,East,Norrköping,Fashion,Shoes,Card,Organic,1,109.02,0.019,Low (1-10%),106.94861999999999,Medium,5,Medium (3-5d),0
O2025120,2025-06-02,C1250,Corporate,Returning,North,Uppsala,Sports,Outdoor,Invoice,Organic,3,134.08,0.074,Low (1-10%),372.47424,Premium,3,Medium (3-5d),0
O2025121,2025-04-26,C1068,Consumer,New,East,Linköping,Electronics,Laptop,Swish,Paid Search,1,926.43,0.052,Low (1-10%),878.2556399999999,Premium,5,Medium (3-5d),0
O2025122,2025-07-25,C1018,Small Business,Returning,West,Göteborg,Beauty,Haircare,Invoice,Email,2,42.21,0.141,Medium (11-25%),72.51678,Low,2,Fast (1-2d),0
O2025123,2025-09-18,C1027,Small Business,Returning,North,Stockholm,Fashion,Jackets,Card,Organic,1,200.25,0,No discount,200.25,High,2,Fast (1-2d),0
O2025124,2025-11-15,C1084,Corporate,VIP,East,Linköping,Home,Kitchen,Card,Organic,1,133.4,0.145,Medium (11-25%),114.057,Medium,6,Slow(6-9d),0
O2025125,2025-02-07,C1088,Consumer,New,South,Malmö,Electronics,Tablet,Card,Organic,1,552.43,0.12,Medium (11-25%),486.13839999999993,Premium,5,Medium (3-5d),0
O2025126,2025-12-13,C1217,Small Business,New,North,Uppsala,Home,Furniture,Invoice,Email,1,341.61,0.087,Low (1-10%),311.88993000000005,High,3,Medium (3-5d),0
O2025127,2025-12-31,C1200,Consumer,Returning,North,Uppsala,Fashion,Jackets,Card,Affiliate,1,147.19,0.074,Low (1-10%),136.29794,Medium,4,Medium (3-5d),0
O2025128,2025-12-19,C1208,Consumer,Returning,North,Stockholm,Fashion,Jackets,Swish,Paid Search,1,170.56,0,No discount,170.56,High,3,Medium (3-5d),0
O2025129,2025-06-12,C1196,Consumer,VIP,West,Borås,Beauty,Skincare,Swish,Direct,1,65.43,0.144,Medium (11-25%),56.00808000000001,Low,2,Fast (1-2d),0
O2025130,2025-01-14,C1183,Small Business,New,North,Västerås,Electronics,Headphones,Card,Organic,2,174.59,0.089,Low (1-10%),318.10298,High,2,Fast (1-2d),0
O2025131,2025-03-20,C1079,Consumer,VIP,East,Linköping,Electronics,Mobile,Gift Card,Social,1,413.44,0.116,Medium (11-25%),365.48096,High,5,Medium (3-5d),0
O2025132,2025-09-23,C1226,Consumer,Returning,North,Västerås,Fashion,Jackets,Gift Card,Direct,1,224.23,0.009,Low (1-10%),222.21193,High,3,Medium (3-5d),0
O2025133,2025-10-06,C1091,Corporate,VIP,South,Malmö,Electronics,Mobile,Card,Organic,1,365.34,0.152,Medium (11-25%),309.80832,High,5,Medium (3-5d),0
O2025134,2025-10-06,C1103,Consumer,New,North,Västerås,Electronics,Tablet,Card,Paid Search,1,272.22,0.125,Medium (11-25%),238.19250000000002,High,4,Medium (3-5d),0
O2025135,2025-02-04,C1179,Consumer,Returning,East,Örebro,Home,Decor,Swish,Organic,1,96.17,0.023,Low (1-10%),93.95809,Medium,7,Slow(6-9d),1
O2025136,2025-07-27,C1257,Consumer,Returning,North,Uppsala,Electronics,Tablet,Card,Affiliate,1,481.37,0.074,Low (1-10%),445.74862,Premium,4,Medium (3-5d),0
O2025137,2025-11-20,C1127,Small Business,VIP,West,Göteborg,Beauty,Makeup,Paypal,Paid Search,2,52.19,0.145,Medium (11-25%),89.2449,Medium,4,Medium (3-5d),0
O2025138,2025-02-24,C1215,Consumer,Returning,North,Stockholm,Fashion,Jackets,Card,Email,1,232.89,0,No discount,232.89,High,3,Medium (3-5d),0
O2025139,2025-03-19,C1156,Consumer,New,West,Göteborg,Sports,Team Sports,Card,Organic,1,102.82,0.043,Low (1-10%),98.39873999999999,Medium,7,Slow(6-9d),1
O2025140,2025-11-06,C1087,Consumer,Returning,West,Halmstad,Sports,Team Sports,Card,Direct,1,119.35,0.012,Low (1-10%),117.9178,Medium,5,Medium (3-5d),0
O2025141,2025-05-12,C1159,Consumer,Returning,South,Malmö,Sports,Cycling,Invoice,Organic,2,442.96,0.053,Low (1-10%),838.96624,Premium,5,Medium (3-5d),0
O2025142,2025-07-16,C1177,Small Business,Returning,East,Linköping,Home,Furniture,Invoice,Organic,1,1075.62,0.005,Low (1-10%),1070.2419,Premium,6,Slow(6-9d),1
O2025143,2025-07-16,C1025,Consumer,Returning,North,Uppsala,Electronics,Mobile,Swish,Organic,2,127.29,0.042,Low (1-10%),243.88764,High,3,Medium (3-5d),0
O2025144,2025-11-22,C1186,Corporate,Returning,North,Uppsala,Home,Lighting,Card,Social,2,79.56,0.038,Low (1-10%),153.07344,High,1,Fast (1-2d),0
O2025145,2025-09-12,C1001,Consumer,VIP,West,Halmstad,Fashion,Shoes,Invoice,Email,1,94.53,0.149,Medium (11-25%),80.44503,Low,3,Medium (3-5d),0
O2025146,2025-03-11,C1166,Consumer,New,South,Helsingborg,Fashion,Sportswear,Invoice,Email,1,43.87,0,No discount,43.87,Low,3,Medium (3-5d),1
O2025147,2025-07-16,C1103,Consumer,New,North,Västerås,Sports,Cycling,Card,Paid Search,2,951.35,0.101,Medium (11-25%),1710.5273,Premium,1,Fast (1-2d),0
O2025148,2025-05-16,C1135,Consumer,Returning,North,Stockholm,Electronics,Tablet,Invoice,Direct,1,844.96,0.113,Medium (11-25%),749.4795200000001,Premium,1,Fast (1-2d),0
O2025149,2025-02-22,C1009,Consumer,Returning,South,Helsingborg,Sports,Team Sports,Card,Email,2,65.51,0.092,Low (1-10%),118.96616000000002,Medium,4,Medium (3-5d),0
O2025150,2025-12-28,C1143,Corporate,VIP,South,Helsingborg,Sports,Cycling,Swish,Direct,1,588.38,0.093,Low (1-10%),533.66066,Premium,3,Medium (3-5d),0
O2025151,2025-07-01,C1171,Small Business,Returning,West,Halmstad,Fashion,Sportswear,Card,Organic,1,73.07,0,No discount,73.07,Low,1,Fast (1-2d),0
O2025152,2025-01-08,C1058,Consumer,New,North,Stockholm,Electronics,Laptop,Paypal,Social,1,1265.49,0.023,Low (1-10%),1236.38373,Premium,4,Medium (3-5d),0
O2025153,2025-03-01,C1246,Small Business,Returning,West,Borås,Fashion,Sportswear,Gift Card,Organic,1,111.34,0.005,Low (1-10%),110.7833,Medium,3,Medium (3-5d),0
